"seed","step","mode","loss","w1_l2_norm","w2_l2_norm","cpu_htp_w1_max_abs_difference","cpu_htp_w2_max_abs_difference"
"20260710","0","htp_full_step","0.206294089556","15.8429517803","9.16327334647","0","0"
"20260710","1","htp_full_step","0.198300391436","15.8358838646","9.15113323475","0.000232756137848","0.000236064195633"
"20260710","2","htp_full_step","0.193053081632","15.8311262221","9.14301834913","0.000307530164719","0.000300824642181"
"20260710","5","htp_full_step","0.177121758461","15.8136365583","9.11303086394","0.000495821237564","0.000385582447052"
"20260710","10","htp_full_step","0.158893063664","15.7892841108","9.0714205111","0.000671356916428","0.000596106052399"
"20260710","20","htp_full_step","0.140322223306","15.7476835589","8.99970479804","0.00116628408432","0.000942558050156"
"20260710","50","htp_full_step","0.121177092195","15.6343188231","8.80114494764","0.00167089700699","0.00133943557739"
"20260710","100","htp_full_step","0.104837916791","15.4830406331","8.53150046837","0.0024471282959","0.0015142261982"
"20260710","final","htp_full_step","0.0473548695445","14.9478771418","7.53986793204","0.0101356804371","0.00675818324089"
"20260711","0","htp_full_step","0.213971659541","15.9017469398","9.23877836326","0","0"
"20260711","1","htp_full_step","0.206811666489","15.8953534803","9.22769663168","0.000419914722443","0.00024139881134"
"20260711","2","htp_full_step","0.199582010508","15.8878308668","9.2149151867","0.000468671321869","0.000344216823578"
"20260711","5","htp_full_step","0.183017283678","15.8708916532","9.18628543414","0.000646114349365","0.000452101230621"
"20260711","10","htp_full_step","0.165902838111","15.8450776815","9.14211527175","0.000811979174614","0.000661939382553"
"20260711","20","htp_full_step","0.147765576839","15.8007713254","9.06542836113","0.00102803111076","0.000937014818192"
"20260711","50","htp_full_step","0.126592725515","15.6884104913","8.86951585539","0.00171595811844","0.00131434202194"
"20260711","100","htp_full_step","0.109187595546","15.5323015859","8.59292945831","0.00285586714745","0.00182461738586"
"20260711","final","htp_full_step","0.0497480928898","15.0087543986","7.62166872296","0.00902038812637","0.00524443387985"
"20260712","0","htp_full_step","0.194742739201","15.9572535302","9.29056599321","0","0"
"20260712","1","htp_full_step","0.189324498177","15.951828722","9.28141601846","0.000239551067352","0.000219315290451"
"20260712","2","htp_full_step","0.18459841609","15.9458015578","9.27108282541","0.000326603651047","0.00028994679451"
"20260712","5","htp_full_step","0.171224087477","15.9296578971","9.24361302194","0.000496238470078","0.000359952449799"
"20260712","10","htp_full_step","0.15773114562","15.9068072026","9.20441753833","0.000719994306564","0.000449910759926"
"20260712","20","htp_full_step","0.143454134464","15.8658806882","9.13383919761","0.00102987885475","0.000837862491608"
"20260712","50","htp_full_step","0.125294730067","15.7534003634","8.93728647363","0.00152444839478","0.0015515089035"
"20260712","100","htp_full_step","0.10825560987","15.6000166275","8.66573166556","0.00267168879509","0.00182363390923"
"20260712","final","htp_full_step","0.0492117404938","15.0677383773","7.68354552532","0.00895422697067","0.006737023592"
"20260713","0","htp_full_step","0.200574114919","15.9092944844","9.23800164144","0","0"
"20260713","1","htp_full_step","0.19461107254","15.9022649347","9.22611880529","0.00022965669632","0.00021567940712"
"20260713","2","htp_full_step","0.190132170916","15.8967237891","9.21665611678","0.000321984291077","0.000289589166641"
"20260713","5","htp_full_step","0.174774646759","15.8786703343","9.18579710137","0.000594735145569","0.000504195690155"
"20260713","10","htp_full_step","0.160558491945","15.8546793647","9.14452050397","0.000820517539978","0.000762730836868"
"20260713","20","htp_full_step","0.143913164735","15.8124550722","9.0713715638","0.00107887387276","0.00080418586731"
"20260713","50","htp_full_step","0.125784114003","15.6998304594","8.87500055582","0.0015484392643","0.00141957402229"
"20260713","100","htp_full_step","0.108755268157","15.5474922634","8.60416894754","0.00232589244843","0.00172403454781"
"20260713","final","htp_full_step","0.0494109578431","15.0227087725","7.62972589067","0.00821834802628","0.00532737374306"
"20260714","0","htp_full_step","0.221746280789","16.0421600922","9.2761291367","0","0"
"20260714","1","htp_full_step","0.212067499757","16.0348493295","9.26389230978","0.000375509262085","0.000242710113525"
"20260714","2","htp_full_step","0.203999340534","16.0285489331","9.25313689388","0.000518202781677","0.000280916690826"
"20260714","5","htp_full_step","0.186603322625","16.0107846152","9.22298309542","0.000755071640015","0.0004563331604"
"20260714","10","htp_full_step","0.169037178159","15.9865523171","9.18116926253","0.000837296247482","0.000809490680695"
"20260714","20","htp_full_step","0.150001272559","15.9451911117","9.10940451506","0.00130450725555","0.000924795866013"
"20260714","50","htp_full_step","0.128676280379","15.8298291057","8.90695462924","0.0015242099762","0.00100493431091"
"20260714","100","htp_full_step","0.110995478928","15.6683812642","8.61906899034","0.00224232673645","0.00171864032745"
"20260714","final","htp_full_step","0.049698729068","15.1185807628","7.59064104142","0.00778988003731","0.00600337982178"
